name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,recipe
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,"Step 1: Chop all vegetables and prepare Flour, cream, sugar, saffron, lemon juice, coconut flakes. Step 2: Cook the main ingredient (Cham cham) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Chenna, condensed milk, sugar, saffron, cardamom). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Kheer sagar!"
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,"Step 1: Gather all ingredients - Chhena, sugar, ghee. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Ledikeni) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Flour, fried milk power, sugar syrup). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Lyangcha!"
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,"Step 1: Chop all vegetables and prepare Yoghurt, refined flour, ghee, fennel seeds. Step 2: Cook the main ingredient (Malapua) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Besan flour, sugar, ghee). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Mihidana!"
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Milk, jaggery). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Misti doi!"
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Chhena, sugar, ghee, flour). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Pantua!"
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,"Step 1: Chop all vegetables and prepare Rice flour, wheat flour. Step 2: Cook the main ingredient (Pithe) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,"Step 1: Gather all ingredients - Chenna, sweetened milk. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Rasabali) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Chhena, reduced milk, pistachio). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Ras malai!"
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,"Step 1: Gather all ingredients - Chhena, sugar, cardamom. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Rasgulla) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,"Step 1: Gather all ingredients - Milk, sugar, saffron, cardamom. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Sandesh) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Rice flour, jaggery, ghee, vegetable oil, elachi). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Adhirasam!"
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Rice flour, jaggery, ghee). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Ariselu!"
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Bandar laddu!"
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Peanuts, jaggery). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Chikki!"
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Milk, Sugar, Dharwadi buffalo milk). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Dharwad pedha!"
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,"Step 1: Gather all ingredients - Loaf bread, milk. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Double ka meetha) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Step 1: Chop all vegetables and prepare Rice flour, sugar, salt, ghee, semolina. Step 2: Cook the main ingredient (Gavvalu) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Step 1: Chop all vegetables and prepare Wheat flour, sugar. Step 2: Cook the main ingredient (Kakinada khaja) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,"Step 1: Gather all ingredients - Black lentils, rice. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Kuzhi paniyaram) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,"Step 1: Gather all ingredients - Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Mysore pak) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Obbattu holige!"
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,"Step 1: Chop all vegetables and prepare Rice flour, milk. Step 2: Cook the main ingredient (Palathalikalu) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,"Step 1: Gather all ingredients - Chana dal, jaggery. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Poornalu) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Rice, jaggery, cashews, ghee). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Pongal!"
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,"Step 1: Chop all vegetables and prepare Rice flour, powdered sugar, ghee. Step 2: Cook the main ingredient (Pootharekulu) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,"Step 1: Gather all ingredients - Apricots, sugar syrup. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Qubani ka meetha) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South,"Step 1: Chop all vegetables and prepare Vermicelli pudding, milk. Step 2: Cook the main ingredient (Sheer korma) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Rice flour, banana, jaggery, coconut). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Unni Appam!"
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South,"Step 1: Chop all vegetables and prepare Rice flour, jaggery, coconut. Step 2: Cook the main ingredient (Kajjikaya) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Rice flour, jaggery, khus-khus seeds). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Anarsa!"
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,"Step 1: Gather all ingredients - Sugar, milk, nuts. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Basundi) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Dhondas,"Cucumber, rava",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Step 1: Gather all ingredients - Cucumber, rava. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Dhondas) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,Gujarat,West,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Milk, rice, sugar, dry fruits). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Doodhpak!"
Mahim halwa,"Semolina, sugar",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Semolina, sugar). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Mahim halwa!"
Modak,"Rice flour, coconut, jaggery ",vegetarian,10,15,sweet,dessert,Maharashtra,West,"Step 1: Gather all ingredients - Rice flour, coconut, jaggery . Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Modak) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Sugar, ghee, maida flour, semolina). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Shankarpali!"
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,"Step 1: Chop all vegetables and prepare Curd, sugar, saffron, cardamom. Step 2: Cook the main ingredient (Shrikhand) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,"Step 1: Gather all ingredients - Maida, sugar, ghee. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Sutar feni) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,Assam,North East,"Step 1: Chop all vegetables and prepare Fish, potol, tomato, chillies, ginger, garlic. Step 2: Cook the main ingredient (Maach Jhol) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,-1,-1,spicy,main course,Tripura,North East,"Step 1: Gather all ingredients - Boiled pork, onions, chillies, ginger and garlic. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Pork Bharta) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Rice, milk, sugar, cardamom). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Chak Hao Kheer!"
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,Nagaland,North East,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Rice, axone, salt, water, chillies, pork). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Galho!"
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,"Step 1: Chop all vegetables and prepare Cauliflower, potato, garam masala, turmeric, curry leaves. Step 2: Cook the main ingredient (Aloo gobi) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,"Step 1: Gather all ingredients - Rice flour, potato, bread crumbs, garam masala, salt. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Aloo tikki) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,"Step 1: Chop all vegetables and prepare Potato, peas, chillies, ginger, garam masala, garlic. Step 2: Cook the main ingredient (Aloo matar) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,"Step 1: Gather all ingredients - Potato, fenugreek leaves, chillies, salt, oil. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Aloo methi) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,"Step 1: Gather all ingredients - Potato, shimla mirch, garam masala, amchur powder, salt. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Aloo shimla mirch) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Chole, rava, yogurt, plain flour, baking soda). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Bhatura!"
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,"Step 1: Chop all vegetables and prepare Ladies finger, garam masala, kasuri methi, tomatoes, chili powder. Step 2: Cook the main ingredient (Bhindi masala) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South,"Step 1: Chop all vegetables and prepare Chicken thighs, basmati rice, star anise, sweet, green chillies. Step 2: Cook the main ingredient (Biryani) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North,"Step 1: Gather all ingredients - Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Butter chicken) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,"Step 1: Chop all vegetables and prepare Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil. Step 2: Cook the main ingredient (Chana masala) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,-1,main course,Maharashtra,West,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Whole wheat flour, olive oil, hot water, all purpose flour). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Chapati!"
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East,"Step 1: Gather all ingredients - Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron. Step 2: Heat oil in a pan. Step 3: Add chopped onions and cook until golden brown. Step 4: Add spices and mix well. Step 5: Add the main ingredient (Chicken razala) and cook for 15-20 minutes. Step 6: Serve hot and enjoy!"
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Chicken Tikka masala!"
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North,"Step 1: Chop all vegetables and prepare Chicken, whole wheat bread, rice flour, garam masala powder, whole egg. Step 2: Cook the main ingredient (Chicken Tikka) with spices. Step 3: Simmer for 10 minutes. Step 4: Garnish and serve hot."
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Chole, bhatura, garam masala, bay leaf, cinnamon stick). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Chole bhature!"
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,"Step 1: Wash and soak ingredients as needed. Step 2: Cook with traditional spices (Moong dal, masoor dal, chana dal, wheat flour, almond). Step 3: Let it simmer until flavors blend. Step 4: Enjoy the delicious Daal baati churma!"
